Name,Address,Phone,Website,Rating,Google Maps Link
Sacrée Fleur Montmartre,"50 Rue de Clignancourt, 75018 Paris, France",+33 1 42 51 66 18,http://www.sacreefleur.fr/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJf-oe7Wdu5kcRRto099RQ9Fc
Pink Mamma,"20bis Rue de Douai, 75009 Paris, France",+33 9 73 03 40 29,https://www.bigmammagroup.com/italian-restaurants/pink-mamma?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,4.7,https://www.google.com/maps/place/?q=place_id:ChIJaYIUUk9u5kcRfAhRNL_ZJgw
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",+33 1 45 08 02 03,http://www.restaurantchouchouparis.fr/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJHwzjqZJv5kcRCir2RjPAaKE
Le Marais Restaurant Paris,"47 R. de Turbigo, 75003 Paris, France",+33 9 87 36 09 13,https://www.privateaser.com/lieu/44897-le-marais-restaurant,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ0Y7Uk_lv5kcRxQMuMKFtVmc
Le Ju',"16 Rue des Archives, 75004 Paris, France",+33 1 42 78 11 47,https://le-ju-paris.fr/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ62uOOx1u5kcRhQssBujerII
Les Baux de Paris,"71 Rue Mouffetard, 75005 Paris, France",+33 1 47 07 91 58,https://www.instagram.com/lesbaux_paris/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJU8BNx-5x5kcRNSC_roNvBRs
La Réserve Du Terroir - Restaurant Paris 4,"13 R. Quincampoix, 75004 Paris, France",+33 1 47 07 55 14,https://linktr.ee/reserveduterroir,4.6,https://www.google.com/maps/place/?q=place_id:ChIJkxq-0GRv5kcR5q-bLdl_5lY
Bistrot Des Tournelles,"6 Rue des Tournelles, 75004 Paris, France",+33 1 57 40 99 96,https://www.bistrotdestournelles.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJjwaAPtBz5kcR_T40W9rYhjc
La Petite Rose des Sables,"6 Rue de Lancry, 75010 Paris, France",+33 1 40 18 35 30,,4.9,https://www.google.com/maps/place/?q=place_id:ChIJZUHe-g5u5kcRwdKX01SNJKE
Restaurant Biscotte,"22 Rue Desnouettes, 75015 Paris, France",+33 1 45 33 22 22,http://www.restaurant-biscotte.com/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJB9SzTgZx5kcRp7lN4whrb3U
Le P'tit Bistrot,"8 Rue Saint-Martin, 75004 Paris, France",+33 1 42 78 55 80,,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ7WkibR5u5kcR12JLnyKyw3E
Granite,"6 Rue Bailleul, 75001 Paris, France",+33 1 40 13 64 06,https://granite.paris/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ63m1Hxpv5kcRtffG6PtiUyY
C’est Comme À La Maison - CCALM,"6 Rue Geoffroy l'Angevin, 75004 Paris, France",+33 7 56 97 72 68,https://www.cestcommealamaison.fr/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJk6d8saxv5kcR2COb5BoXYpo
Le Petit Châtelet,"39 Rue de la Bûcherie, 75005 Paris, France",+33 1 46 33 53 40,https://restaurantlepetitchatelet.com/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ56_YHeFx5kcRXURgPuqkdm8
Sacré Frenchy !,"58 Bd de Sébastopol, 75003 Paris, France",+33 1 42 74 55 63,https://www.sacrefrenchy.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJTdiHcqxv5kcRVgEUqDEcnbY
Noûsh,"Enseigne bleue, 60 Rue Saint-Lazare, 75009 Paris, France",+33 9 87 35 15 82,https://www.restaurant-trinite.fr/noush,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ28h8M5Nv5kcRiV8ei8Z14RY
Bel Canto,"72 Quai de l'Hôtel de ville, 75004 Paris, France",+33 1 42 78 30 18,https://widget.thefork.com/fr/144e3cdd-b463-4d63-a7f7-f1c7f617ac84?utm_source=lebelcanto.com,4.7,https://www.google.com/maps/place/?q=place_id:ChIJL0aYwOJx5kcRChA0_ZgzHuw
DELTA - Restaurant Paris 6,"8 Rue Princesse, 75006 Paris, France",+33 7 61 04 55 44,https://www.delta-paris.com/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJ3aoJxulx5kcRmLXyaiYNeIU
Le Christine,"1 Rue Christine, 75006 Paris, France",+33 1 40 51 71 64,https://lechristine.becsparisiens.fr/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJGYs9GN9x5kcRsRy5IisFSKE
Le 217 Brasserie Restaurant,"217 Av. Daumesnil, 75012 Paris, France",+33 9 54 25 75 70,,4.7,https://www.google.com/maps/place/?q=place_id:ChIJERw-nmhy5kcR2F6bGEVgvPw
Le Florimond,"19 Av. de la Motte-Picquet, 75007 Paris, France",+33 1 45 55 40 38,http://leflorimond.com/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJm4eKnydw5kcRFAIQkhhg1Lg
Arpège,"84 Rue de Varenne, 75007 Paris, France",+33 1 47 05 09 06,https://www.alain-passard.com/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJQ-oAFypw5kcR2T9NszPcZO4
Aldehyde,"5 Rue du Pont Louis-Philippe, 75004 Paris, France",+33 9 73 89 43 24,https://aldehyde.paris/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJuZn5THBx5kcRIN1OExKjBoU
Le 217 Brasserie Restaurant,"217 Av. Daumesnil, 75012 Paris, France",+33 9 54 25 75 70,,4.7,https://www.google.com/maps/place/?q=place_id:ChIJERw-nmhy5kcR2F6bGEVgvPw
Oui Mon Général !,"14 Rue du Général Bertrand, 75007 Paris, France",+33 1 47 83 76 66,http://www.oui-mon-general.fr/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJQzUcpy9x5kcR9JZ7dlhGc74
Bistrotters,"9 Rue Decrès, 75014 Paris, France",+33 1 45 45 58 59,http://www.bistrotters.com/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJUWpN50tw5kcRxFHi8fOzbi4
L'Alsacien Châtelet - Restaurant / Bar à Flammekueche,"6 Rue Saint-Bon, 75004 Paris, France",+33 1 42 77 64 22,https://www.lalsacien.com/restaurant-alsacien-paris/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJu_io1h1u5kcRV737GjvtdwE
Al Solito Posto,"91 Rue Saint-Martin, 75004 Paris, France",+33 1 42 71 79 25,https://al-solito-posto.fr/fr,4.7,https://www.google.com/maps/place/?q=place_id:ChIJKdlUHxxu5kcRbPslt5qXYEo
AT,"4bis Rue du Cardinal Lemoine, 75005 Paris, France",+33 1 56 81 94 08,http://www.atsushitanaka.com/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJSXUGuORx5kcR_w2q7eJxLRo
Le Saint-Regis - Paris,"6 Rue Jean du Bellay, 75004 Paris, France",+33 1 43 54 59 41,http://www.lesaintregis-paris.com/,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ7ayOGeNx5kcReHHR9KTXiz0
Benoît,"20 Rue Saint-Martin, 75004 Paris, France",+33 1 42 72 25 76,https://www.benoit-paris.com/,4.2,https://www.google.com/maps/place/?q=place_id:ChIJQ0bNfR5u5kcR9Z0i41-E7sg
Eataly,"37 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",+33 1 83 65 81 00,https://eataly.fr/,4.3,https://www.google.com/maps/place/?q=place_id:ChIJUSmUXUFv5kcR2GGP6Dn34pw
Les Deux Colombes,"4 Rue de la Colombe, 75004 Paris, France",+33 1 42 03 04 32,https://lesdeuxcolombes.fr/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ-Xrnlutx5kcRyHCw-v2UJy8
Tekés,"4 bis Rue Saint-Sauveur, 75002 Paris, France",+33 7 81 42 54 74,http://www.tekesrestaurant.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJP0h7fOFv5kcRnVPMvx7dfq4
La Propriété Française,"84 Rue Saint-Martin, 75004 Paris, France",+33 7 67 67 80 18,https://lpf-paris.fr/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJX2c7lCtv5kcRxhdJCBIRGGU
Restaurant Martin Paris,"40 bis Rue René Boulanger, 75010 Paris, France",+33 1 71 18 38 88,https://www.restaurantmartinparis.com/fr/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJs6fiHw9u5kcRAmzCfXfQU4A
GrandCœur,"41 Rue du Temple, 75004 Paris, France",+33 1 58 28 18 90,http://www.grandcoeur.paris/,4.4,https://www.google.com/maps/place/?q=place_id:ChIJkUOQ9Bxu5kcRWHpBtoWl0iA
L'Alivi,"27 Rue du Roi de Sicile, 75004 Paris, France",+33 1 48 87 90 20,https://www.restaurant-alivi.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJGztKmAJu5kcR94FmAOdynIs
Guiren - restaurant bistronomique,"10 Rue Marie Stuart, 75002 Paris, France",+33 9 50 08 88 89,https://www.restaurant-guiren.com/?fbclid=PAZXh0bgNhZW0CMTEAAaa9LiDiXgPfzeshQGxaaTH8A8g6YS1LlYkLhkMlDfmt4uR-XHwjoOuWt5I_aem_WxbfZMp7GnvfnWNQaOun9A,4.9,https://www.google.com/maps/place/?q=place_id:ChIJP-rbjAlv5kcR61neaAfHyA4
La Sajerie,"20 Rue d'Abbeville, 75009 Paris, France",+33 9 50 57 68 69,http://www.lasajerie.com/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJmTLD0aBv5kcRwGg1p-kuLD0
Arpège,"84 Rue de Varenne, 75007 Paris, France",+33 1 47 05 09 06,https://www.alain-passard.com/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJQ-oAFypw5kcR2T9NszPcZO4
Bistrotters,"9 Rue Decrès, 75014 Paris, France",+33 1 45 45 58 59,http://www.bistrotters.com/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJUWpN50tw5kcRxFHi8fOzbi4
Le 217 Brasserie Restaurant,"217 Av. Daumesnil, 75012 Paris, France",+33 9 54 25 75 70,,4.7,https://www.google.com/maps/place/?q=place_id:ChIJERw-nmhy5kcR2F6bGEVgvPw
Aldehyde,"5 Rue du Pont Louis-Philippe, 75004 Paris, France",+33 9 73 89 43 24,https://aldehyde.paris/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJuZn5THBx5kcRIN1OExKjBoU
La Truffière,"4 Rue Blainville, 75005 Paris, France",+33 1 46 33 29 82,https://www.la-truffiere.fr/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJK5zijfvq5UcRsDJR-boQBLk
Restaurant Le Gabriel,"la reserve, 42 Av. Gabriel, 75008 Paris, France",+33 1 58 36 60 66,https://www.lareserve-paris.com/restaurants-bars/restaurant-le-gabriel/?utm_source=google&utm_medium=local&utm_campaign=gabriel,4.6,https://www.google.com/maps/place/?q=place_id:ChIJA1PHDM9v5kcRsdD0Snjw06k
L'Alsacien Châtelet - Restaurant / Bar à Flammekueche,"6 Rue Saint-Bon, 75004 Paris, France",+33 1 42 77 64 22,https://www.lalsacien.com/restaurant-alsacien-paris/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJu_io1h1u5kcRV737GjvtdwE
Al Solito Posto,"91 Rue Saint-Martin, 75004 Paris, France",+33 1 42 71 79 25,https://al-solito-posto.fr/fr,4.7,https://www.google.com/maps/place/?q=place_id:ChIJKdlUHxxu5kcRbPslt5qXYEo
AT,"4bis Rue du Cardinal Lemoine, 75005 Paris, France",+33 1 56 81 94 08,http://www.atsushitanaka.com/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJSXUGuORx5kcR_w2q7eJxLRo
Eataly,"37 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",+33 1 83 65 81 00,https://eataly.fr/,4.3,https://www.google.com/maps/place/?q=place_id:ChIJUSmUXUFv5kcR2GGP6Dn34pw
Le Saint-Regis - Paris,"6 Rue Jean du Bellay, 75004 Paris, France",+33 1 43 54 59 41,http://www.lesaintregis-paris.com/,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ7ayOGeNx5kcReHHR9KTXiz0
Benoît,"20 Rue Saint-Martin, 75004 Paris, France",+33 1 42 72 25 76,https://www.benoit-paris.com/,4.2,https://www.google.com/maps/place/?q=place_id:ChIJQ0bNfR5u5kcR9Z0i41-E7sg
Tekés,"4 bis Rue Saint-Sauveur, 75002 Paris, France",+33 7 81 42 54 74,http://www.tekesrestaurant.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJP0h7fOFv5kcRnVPMvx7dfq4
Les Deux Colombes,"4 Rue de la Colombe, 75004 Paris, France",+33 1 42 03 04 32,https://lesdeuxcolombes.fr/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ-Xrnlutx5kcRyHCw-v2UJy8
La Propriété Française,"84 Rue Saint-Martin, 75004 Paris, France",+33 7 67 67 80 18,https://lpf-paris.fr/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJX2c7lCtv5kcRxhdJCBIRGGU
GrandCœur,"41 Rue du Temple, 75004 Paris, France",+33 1 58 28 18 90,http://www.grandcoeur.paris/,4.4,https://www.google.com/maps/place/?q=place_id:ChIJkUOQ9Bxu5kcRWHpBtoWl0iA
Restaurant Martin Paris,"40 bis Rue René Boulanger, 75010 Paris, France",+33 1 71 18 38 88,https://www.restaurantmartinparis.com/fr/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJs6fiHw9u5kcRAmzCfXfQU4A
Bistrot Instinct,"19 Rue de Picardie, 75003 Paris, France",+33 1 42 78 93 06,https://bistrotinstinctparis3.fr/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJzX94Mqpv5kcR789tzbYvWzc
La Sajerie,"20 Rue d'Abbeville, 75009 Paris, France",+33 9 50 57 68 69,http://www.lasajerie.com/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJmTLD0aBv5kcRwGg1p-kuLD0
Guiren - restaurant bistronomique,"10 Rue Marie Stuart, 75002 Paris, France",+33 9 50 08 88 89,https://www.restaurant-guiren.com/?fbclid=PAZXh0bgNhZW0CMTEAAaa9LiDiXgPfzeshQGxaaTH8A8g6YS1LlYkLhkMlDfmt4uR-XHwjoOuWt5I_aem_WxbfZMp7GnvfnWNQaOun9A,4.9,https://www.google.com/maps/place/?q=place_id:ChIJP-rbjAlv5kcR61neaAfHyA4
la Quintessence,"125 Rue Saint-Honoré, 75001 Paris, France",+33 6 06 79 76 86,https://laquintessence-traiteur.fr/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJR7C1ZZxv5kcRL75vgIo2tk8
Le Mistral,"2 Pl. du Châtelet, 75004 Paris, France",+33 1 42 78 13 99,http://www.brasserielemistral.com/,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ4Q02yx9u5kcRiOyVNdlFOkw
L'Osteria Paris Chatelet,"27 Rue Aubry le Boucher, 75004 Paris, France",+33 9 74 64 00 66,https://losteria.net/fr/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJn_GGMDRv5kcRjfzk8tIGObY
Restaurant Bistronomique FLORINA,"47 Bd de Port-Royal, 75013 Paris, France",+33 9 84 30 74 72,https://florina-restaurant.com/fr,4.9,https://www.google.com/maps/place/?q=place_id:ChIJDUOM2Y9x5kcR5CdWXcDfUsU
La French Guinguette,"58 Rue Rambuteau, 75003 Paris, France",+33 9 74 64 10 77,https://wiicmenu-qrcode.com/app/restaurantWebSite.php?resto=846,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ6TsH8htu5kcRld1cFUnRuNg
Miznon,"22 Rue des Écouffes, 75004 Paris, France",+33 7 68 83 97 58,https://www.miznonparis.com/,4.3,https://www.google.com/maps/place/?q=place_id:ChIJo4T2XQJu5kcRLl_6yt91wOw
Le Merci,"29 Rue Poissonnière, 75002 Paris, France",+33 9 86 59 25 55,,4.7,https://www.google.com/maps/place/?q=place_id:ChIJQeVRxnVv5kcRIubGZgi2Pl0
Le Paradis des Amis,"72 Rue Gay-Lussac, 75005 Paris, France",+33 1 40 51 05 02,https://www.facebook.com/LeParadisdesAmis/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJudUhBsJx5kcRvsCmutUEvZ8
Beaurepaire Notre Dame - Restaurant Paris Terrasse,"1 Rue de la Bûcherie, 75005 Paris, France",+33 1 86 04 88 55,http://www.beaurepairenotredame.fr/,4.2,https://www.google.com/maps/place/?q=place_id:ChIJ_X_4U-Fx5kcRjAtxRejjUQk
Kuisinistan,"37 Rue de Palestro, 75002 Paris, France",+33 1 77 99 78 32,https://www.kuisinistan.com/fr,5.0,https://www.google.com/maps/place/?q=place_id:ChIJKxCO8EVv5kcRcN9RrcB4t4c
Irwin,"22 Rue Cambacérès, 75008 Paris, France",+33 1 89 40 04 19,http://www.irwin.paris/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJ12IFfgBv5kcRrXCid5q23Nk
Perchiana Restaurant Paris,"7 Rue Mademoiselle, 75015 Paris, France",+33 6 64 09 69 42,https://www.instagram.com/restaurantperchianaparis/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ5USzxxZw5kcRxio9XLqeW50
L'INAPERÇU,"65 Rue Beaubourg, 75003 Paris, France",+33 1 42 72 69 81,https://www.linapercu.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJoWPcwe1v5kcRQTjQWdtbRv8
KUCCINI,"165 Rue St Denis, 75002 Paris, France",+33 1 83 56 76 64,https://kuccini.net/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJZ6Lq7hlu5kcRgr98_sCefbo
La Brigade - Réaumur - Restaurant Paris,"108 Rue Réaumur, 75002 Paris, France",+33 1 42 60 07 68,https://www.la-brigade.fr/,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ4Q0Qn9lv5kcR4yA-nGhzJCk
LITTLE SUYA,"10 Rue Mandar, 75002 Paris, France",+33 1 42 36 03 13,http://www.suya.fr/,5.0,https://www.google.com/maps/place/?q=place_id:ChIJMVTDbwBv5kcRWtXR_UxrxE4
JJ,"34 Rue de Penthièvre, 75008 Paris, France",+33 1 42 25 07 90,https://www.jjrestaurant.fr/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJP28OuMhv5kcRkMYfG67yyfk
BAOBAR - Restaurant Chinois,"42 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",+33 1 89 33 37 61,https://www.pandapandagroup.com/fr/baobar,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ5ySs-xlv5kcRXZjZXCN0PO4
Bo'bon,"24 Rue des Lombards, 75004 Paris, France",+33 1 42 71 61 77,,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ0x2XwxZv5kcRH_gclVj7clk
Comptoir De Vie,"22-24 Rue Saint-Sauveur, 75002 Paris, France",,https://www.devie.bar/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJVyaZqexv5kcR4RpO3OdCWAc
Les affranchis,"14 Av. Daumesnil, 75012 Paris, France",+33 1 43 42 25 38,http://lesaffranchisparis.com/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJTROzwKFz5kcRa-gtIrRa_Jg
Sur le Pouce,"7 Rue d'Arcole, 75004 Paris, France",+33 1 43 25 93 42,http://www.restaurantsurlepouce.fr/,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ0wpKJ-Jx5kcRkvKDe3ABmQU
Beaurepaire Notre Dame - Restaurant Paris Terrasse,"1 Rue de la Bûcherie, 75005 Paris, France",+33 1 86 04 88 55,http://www.beaurepairenotredame.fr/,4.2,https://www.google.com/maps/place/?q=place_id:ChIJ_X_4U-Fx5kcRjAtxRejjUQk
Alluma,"151 Rue Saint-Maur, 75011 Paris, France",+33 9 85 11 88 33,http://alluma-paris.com/,4.8,https://www.google.com/maps/place/?q=place_id:ChIJPxGQOx9t5kcRmczlkAOj3Ps
Poulette,"3 Rue Étienne Marcel, 75001 Paris, France",+33 9 53 62 89 17,http://www.pouletterestaurant.com/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJNZjEfhlu5kcRtZ0sx6-tgNI
Moustache,"3 Rue Sainte-Beuve, 75006 Paris, France",+33 1 42 22 56 65,http://www.moustache-restaurant.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ1646qc9x5kcRF2atNBbUiU8
Les Acrobates,"20 R. du Renard, 75004 Paris, France",+33 1 42 72 98 70,,4.6,https://www.google.com/maps/place/?q=place_id:ChIJGX8C1rBv5kcR8uDiw1h-lMw
À la Biche au Bois,"45 Av. Ledru Rollin, 75012 Paris, France",+33 1 43 43 34 38,https://alabicheaubois.fr/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJiavpeQNy5kcRIbgG21aCYCc
Chef Jean Yves,"74 Rue du Vertbois, 75003 Paris, France",+33 6 80 64 18 84,https://chefjeanyves.com/,4.9,https://www.google.com/maps/place/?q=place_id:ChIJozR5lvtt5kcREznRpW9UWww
Jaja,"3 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",+33 1 42 74 71 52,http://www.jaja-resto.com/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJMQVT6AJu5kcRRTJqTENzZus
Aux Anysetiers du Roy,"61 Rue Saint-Louis en L'Ile, 75004 Paris, France",+33 1 56 24 84 58,https://www.anysetiersduroy.com/,4.4,https://www.google.com/maps/place/?q=place_id:ChIJNfYFN-Nx5kcRaH_wvD1fPPo
Bistrot d'Antoine - Restaurant Paris Bastille,"10 Rue Saint-Antoine, 75004 Paris, France",+33 9 74 64 08 67,https://linktr.ee/bistrot_antoine_bastille,4.3,https://www.google.com/maps/place/?q=place_id:ChIJx7T2KQBy5kcROTc6PVRrIMw
BAOBAR - Restaurant Chinois,"42 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",+33 1 89 33 37 61,https://www.pandapandagroup.com/fr/baobar,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ5ySs-xlv5kcRXZjZXCN0PO4
Bistrot Paul Bert,"18 Rue Paul Bert, 75011 Paris, France",+33 1 43 72 24 01,https://bistrotpaulbert.fr/,4.2,https://www.google.com/maps/place/?q=place_id:ChIJnYPdmaZz5kcR80ulUF3wtjQ
A Braccetto,"19 Rue Soufflot, 75005 Paris, France",+33 1 42 01 01 07,https://abraccettoparis.com/,4.6,https://www.google.com/maps/place/?q=place_id:ChIJz1ZMihxx5kcRKbP6nhl8Cwo
Le Grand Dictionnaire,"19 Rue Pascal, 75005 Paris, France",+33 1 40 09 09 09,https://www.lgd.paris/fr/restaurant,4.7,https://www.google.com/maps/place/?q=place_id:ChIJc3TF92Bx5kcRLeCyTTgQuEE
GangNam Falafel,"92 Rue Saint-Maur, 75011 Paris, France",+33 9 75 60 85 80,,4.8,https://www.google.com/maps/place/?q=place_id:ChIJK20ttuJt5kcRKhvBL1mlzkk
Le Pavé,"7 Rue des Lombards, 75004 Paris, France",+33 1 44 54 07 20,https://wiicmenu-qrcode.com/app/restaurantWebSite.php?resto=2239,4.3,https://www.google.com/maps/place/?q=place_id:ChIJZ4SrO49v5kcRUbH4b7NAeuY
Langosteria,"Cheval Blanc Paris, 8 Quai du Louvre, 75001 Paris, France",+33 1 79 35 50 33,http://langosteria.com/,4.5,https://www.google.com/maps/place/?q=place_id:ChIJIUZyA9Rv5kcR3NndJ9U1-X4
François Félix,"9 Rue Boissy d'Anglas, 75008 Paris, France",+33 1 42 65 04 05,https://www.francois-felix.com/,4.4,https://www.google.com/maps/place/?q=place_id:ChIJLamhOs1v5kcRrKFp5kqL1MI
